"year","infill_method","MAPE","MAE_w0","MAE_no0","MASE"
2024,"chinook_natural_kal.structs",1.21345940423539,6.00677027272841,6.81967867805193,0.442604125358936
2024,"chinook_natural_interp.linear",1.24499817784257,6.44642857142857,7.39642857142857,0.475
2024,"chinook_natural_interp.stine",1.2187079036042,6.50123292712104,7.22698922248343,0.479038215682603
2024,"chinook_natural_kal.arima",1.71237211872693,7.45581035887793,8.15948569468685,0.549375500127847
2024,"chinook_natural_MA.exp3",1.28517251597609,7.72727272727273,8.81060606060606,0.569377990430622
2024,"chinook_natural_MA.exp2",1.33279156359514,7.76893939393939,8.85227272727273,0.572448165869219
2024,"chinook_natural_MA.linear3",1.1155177263213,7.82838827838828,8.64981684981685,0.576828609986505
2024,"chinook_natural_MA.linear2",1.19463860544218,7.89761904761905,8.71904761904762,0.581929824561404
2024,"chinook_natural_MA.simp3",0.873618197278912,7.95833333333333,8.45833333333333,0.58640350877193
2024,"chinook_natural_MA.simp2",0.992665816326531,8.0625,8.5625,0.594078947368421
2025,"chinook_natural_interp.linear",0.947990915443746,4.92962962962963,12.8555555555556,0.555451225873761
2025,"chinook_natural_kal.arima",0.947990915443746,4.92962962962963,12.8555555555556,0.555451225873761
2025,"chinook_natural_kal.structs",0.947990915443745,4.92962962962963,12.8555555555556,0.555451225873761
2025,"chinook_natural_interp.stine",1.07146439028434,5.25148382348514,13.2295067995887,0.591716487153255
2025,"chinook_natural_MA.simp2",0.649436582809224,5.27777777777778,13.1296296296296,0.594679186228482
2025,"chinook_natural_MA.simp3",0.649436582809224,5.27777777777778,13.1296296296296,0.594679186228482
2025,"chinook_natural_MA.linear2",0.799513327343516,5.35145502645503,13.1551587301587,0.602980848051271
2025,"chinook_natural_MA.linear3",0.799513327343516,5.35145502645503,13.1551587301587,0.602980848051271
2025,"chinook_natural_MA.exp2",0.921034241788959,5.43333333333333,13.1962962962963,0.612206572769953
2025,"chinook_natural_MA.exp3",0.921034241788959,5.43333333333333,13.1962962962963,0.612206572769953
